Total number of comments: 801781
Total count of topic tags: {'fairbusiness': 421639, 'formletters': 514868, 'freegov': 8665, 'ideafreedom': 411656})



Overlap Topics:
1 topic only:
fairbusiness': 187845, 
'freegov': 4925
'ideafreedom': 177908

2 topics:
freegov+freebiz 1287
idea+freebiz 231295
freegov+idea 1241

all 3:
1212

none:
192432


By State:

Total
NOT_SPECIFIED 0.280782408164
CA 0.237249323693
NY 0.0388535023903
TX 0.0312591592966
FL 0.0267367273607
WA 0.0233343020101
IL 0.022079595301
PA 0.0195913846799
DC 0.0183528918745
MA 0.0175870967259
OR 0.0157212505659
OH 0.0155229420503
NJ 0.0154767947856
CO 0.0154294002976
MI 0.0152522945792
VA 0.0141746935884
AZ 0.0131831510101
NC 0.0126568227484
GA 0.0121616750709
MD 0.0117276413385
MN 0.0112250103208
WI 0.00881662199528
IN 0.0087355524763
MO 0.00836138546561
TN 0.00826784371293
CT 0.0062311279514
UT 0.00591558043905
OK 0.00522836036274
KY 0.0051173574829
IA 0.00492154341397
NM 0.004735707132
SC 0.0046633681766
NH 0.00458105143424
NV 0.00448875690494
AL 0.00434407899414
KS 0.00432038175013
ME 0.00422683999746
ID 0.00411957878772
LA 0.00380527849874
AR 0.00330763637452
SD 0.00312180009254
NE 0.00300456109586
HI 0.00262665241506
VT 0.00237720774127
AK 0.00227867709512
DE 0.00220633813972
RI 0.00203921020827
MT 0.00199306294362
WV 0.00175484328015
MS 0.00172740436603
ND 0.00110878157502
VI 0.0010813426609
PR 0.000889270262079
WY 0.000860584124593
GU 0.000162139037967
PW 8.98000825662e-05
FM 4.11583711762e-05
AS 3.86639244382e-05
MP 2.61916907485e-05
MH 2.61916907485e-05



fairbusiness
NOT_SPECIFIED 0.290630136207
CA 0.114254136833
NY 0.0510412936185
TX 0.0417442409265
FL 0.0349137532344
WA 0.0302391382201
IL 0.0290034840231
PA 0.0260246324462
MA 0.0225714414464
OH 0.0200859028695
MI 0.0199768048022
OR 0.0199673180138
CO 0.0198012992157
NJ 0.018470777134
VA 0.0182691828792
NC 0.0162318950571
GA 0.0159259461293
AZ 0.0154539784033
MN 0.0145408750139
MD 0.0143677411245
IN 0.0115501649515
WI 0.01143632349
MO 0.0108362841198
TN 0.010591999317
CT 0.00812306261992
UT 0.00795941551896
DC 0.006972789519
KY 0.00662177834593
IA 0.00595770315365
NV 0.00572527683635
SC 0.00572290513923
AL 0.00564701083154
KS 0.00552368258154
NM 0.0054857354277
OK 0.00547150524501
LA 0.00502562618733
NH 0.0047884564758
ME 0.00465564143734
ID 0.00413623976909
AR 0.00380894556718
NE 0.00348402306238
HI 0.00313538358643
VT 0.0028199478701
RI 0.00252822912491
MT 0.00246656499992
AK 0.00245233481723
WV 0.00240490087492
SD 0.00221516510569
MS 0.00221516510569
DE 0.00221516510569
ND 0.00125937116823
WY 0.00120245043746
PR 0.00114552970669
VI 0.00058580918748
GU 0.000137558432688
PW 6.87792163438e-05
AS 3.32037596143e-05
MH 2.84603653837e-05
FM 2.60886682684e-05
MP 2.13452740377e-05



formletters
NOT_SPECIFIED 0.316799645734
CA 0.305559871656
NY 0.0335037329956
TX 0.0272186269102
FL 0.0224057428312
WA 0.0201430269506
IL 0.0192903812239
PA 0.0170043583987
MA 0.014796025389
OR 0.0132849584748
CO 0.0131509435428
MI 0.0128926249058
OH 0.012754725483
NJ 0.0115000349604
VA 0.0109989356495
NC 0.0100550043895
GA 0.00994235415679
AZ 0.00939075646573
MN 0.00932666236783
MD 0.0088546967378
WI 0.00772236767482
IN 0.00744268433851
MO 0.00682505030416
TN 0.00646185041603
CT 0.00529456093601
UT 0.0051217010962
KY 0.00413115594677
NM 0.00385535710124
NV 0.00359509621884
IA 0.00356207804719
KS 0.00347467700459
AL 0.00346690802303
SC 0.00343777434216
LA 0.00324160755767
OK 0.00309593915334
ME 0.0028434472525
NH 0.00273273926521
ID 0.00228213833449
AR 0.00221804423658
HI 0.00219667953728
DC 0.00213452768477
NE 0.00208791379538
VT 0.0017363673796
RI 0.0016703310363
MT 0.00154602733128
WV 0.00151106691424
MS 0.00144503057094
AK 0.00134209156522
DE 0.00113621355377
SD 0.000821569800415
PR 0.000817685309633
WY 0.000813800818851
ND 0.000761360193292
VI 0.000176744330586
GU 6.99208340779e-05
MH 1.55379631284e-05
PW 1.55379631284e-05
AS 9.71122695526e-06
FM 9.71122695526e-06
MP 3.8844907821e-06



freegov
NOT_SPECIFIED 0.847316791691
CA 0.0137334102712
FL 0.0128101557992
TX 0.0120023081362
PA 0.00703981534911
MI 0.00577034045009
OH 0.00530871321408
NY 0.00507789959608
MO 0.00473167916907
AZ 0.00473167916907
GA 0.00450086555107
CO 0.00427005193306
VA 0.00427005193306
TN 0.00427005193306
IL 0.00415464512406
NC 0.00380842469706
OK 0.00334679746105
WA 0.00334679746105
SC 0.00311598384305
OR 0.00300057703405
NJ 0.00288517022504
AL 0.00276976341604
LA 0.00265435660704
WI 0.00265435660704
KY 0.00253894979804
MD 0.00230813618003
IN 0.00230813618003
KS 0.00196191575303
NV 0.00184650894403
MN 0.00173110213503
AR 0.00161569532602
NE 0.00161569532602
SD 0.00138488170802
UT 0.00138488170802
